1	1	1	OK	0.0000e+00 (0x0p+0)	0
14	14	14	OK	3.1255e-16 (0x1.6859f1b76b5eap-52)	1
27	27	27	OK	0.0000e+00 (0x0p+0)	0
40	40	40	OK	0.0000e+00 (0x0p+0)	0
53	53	53	OK	1.7522e-16 (0x1.940858bf92778p-53)	1
66	66	66	OK	0.0000e+00 (0x0p+0)	0
79	79	79	OK	0.0000e+00 (0x0p+0)	0
92	92	92	OK	1.6219e-16 (0x1.75f9740d2500bp-53)	1
105	105	105	OK	0.0000e+00 (0x0p+0)	0
118	118	118	OK	2.2099e-16 (0x1.fd92314c87c56p-53)	1
131	131	131	OK	1.6904e-16 (0x1.85c6538fa1f72p-53)	1
144	144	144	OK	0.0000e+00 (0x0p+0)	0
157	157	157	OK	0.0000e+00 (0x0p+0)	0
170	170	170	OK	0.0000e+00 (0x0p+0)	0
183	183	183	OK	1.7189e-16 (0x1.8c5a6fb63ababp-53)	1
196	196	196	OK	2.1011e-16 (0x1.e478be9ea8244p-53)	1
209	209	209	OK	0.0000e+00 (0x0p+0)	0
222	222	222	OK	0.0000e+00 (0x0p+0)	0
235	235	235	OK	0.0000e+00 (0x0p+0)	0
248	248	248	OK	0.0000e+00 (0x0p+0)	0
