1	1	1	OK	0.0000e+00 (0x0p+0)	0
2	2	2	OK	0.0000e+00 (0x0p+0)	0
4	4	4	OK	0.0000e+00 (0x0p+0)	0
8	8	8	OK	0.0000e+00 (0x0p+0)	0
16	16	16	OK	0.0000e+00 (0x0p+0)	0
32	32	32	OK	0.0000e+00 (0x0p+0)	0
64	64	64	OK	0.0000e+00 (0x0p+0)	0
128	128	128	OK	0.0000e+00 (0x0p+0)	0
256	256	256	OK	0.0000e+00 (0x0p+0)	0
512	512	512	OK	0.0000e+00 (0x0p+0)	0
1024	1024	1024	OK	0.0000e+00 (0x0p+0)	0
2048	2048	2048	OK	0.0000e+00 (0x0p+0)	0
4096	4096	4096	OK	0.0000e+00 (0x0p+0)	0
8192	8192	8192	OK	0.0000e+00 (0x0p+0)	0
16384	16384	16384	OK	0.0000e+00 (0x0p+0)	0
32768	32768	32768	OK	0.0000e+00 (0x0p+0)	0
65536	65536	65536	OK	0.0000e+00 (0x0p+0)	0
131072	131072	131072	OK	0.0000e+00 (0x0p+0)	0
262144	262144	262144	OK	0.0000e+00 (0x0p+0)	0
524288	524288	524288	OK	0.0000e+00 (0x0p+0)	0
1048576	1048576	1048576	OK	0.0000e+00 (0x0p+0)	0
2097152	2097152	2097152	OK	0.0000e+00 (0x0p+0)	0
