1	1	1	OK	1.2167e-34 (0x1.43740b7801096p-113)	1
14	14	14	OK	1.3555e-34 (0x1.6859f1b76b5eap-113)	1
27	27	27	OK	4.7980e-34 (0x1.3ee187a8a6d8ep-111)	1
40	40	40	OK	1.3262e-34 (0x1.6091dd75966c5p-113)	1
53	53	53	OK	3.0396e-34 (0x1.940858bf92779p-112)	1
66	66	66	OK	2.3287e-34 (0x1.3589663f05163p-112)	1
79	79	79	OK	1.3871e-34 (0x1.70bebe3cb96eap-113)	1
92	92	92	OK	1.4067e-34 (0x1.75f9740d2500cp-113)	1
105	105	105	OK	1.1820e-34 (0x1.3a3b8bd31d2ecp-113)	1
118	118	118	OK	1.9168e-34 (0x1.fd92314c87c56p-113)	1
131	131	131	OK	2.9323e-34 (0x1.85c6538fa1f73p-112)	1
144	144	144	OK	1.2481e-34 (0x1.4bce3e20c370dp-113)	1
157	157	157	OK	2.5983e-34 (0x1.59612adb7a29ap-112)	1
170	170	170	OK	0.0000e+00 (0x0p+0)	0
183	183	183	OK	1.4909e-34 (0x1.8c5a6fb63abacp-113)	1
196	196	196	OK	3.6448e-34 (0x1.e478be9ea8244p-112)	1
209	209	209	OK	1.8264e-34 (0x1.e586fcdfe5ac1p-113)	1
222	222	222	OK	0.0000e+00 (0x0p+0)	0
235	235	235	OK	1.5667e-34 (0x1.a07dcc4126011p-113)	1
248	248	248	OK	1.1153e-34 (0x1.287e01b85ab74p-113)	1
